"Sample Name"	"Protocol REF"	"Assay Name"	"Raw Data File"	"Protocol REF"	"Normalization Name"	"Data Transformation Name"	"Derived Data File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"3"	"data collection"	"A704-03"	"A704-03.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"27"	"data collection"	"A704-27_2"	"A704-27_2.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"51"	"data collection"	"A704-51_2"	"A704-51_2.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"15"	"data collection"	"A704-15"	"A704-15.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"39"	"data collection"	"A704-39"	"A704-39.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"63"	"data collection"	"A704-63"	"A704-63.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"4"	"data collection"	"A704-04"	"A704-04.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"28"	"data collection"	"A704-28"	"A704-28.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"52"	"data collection"	"A704-52_2"	"A704-52_2.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"16"	"data collection"	"A704-16_2"	"A704-16_2.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"40"	"data collection"	"A704-40"	"A704-40.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"64"	"data collection"	"A704-64"	"A704-64.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"5"	"data collection"	"A704-05"	"A704-05.CEL"	"data transformation"	""	""	""	""	""	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"29"	"data collection"	"A704-29"	"A704-29.CEL"	"data transformation"	""	""	""	""	""	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"53"	"data collection"	"A704-53_2"	"A704-53_2.CEL"	"data transformation"	""	""	""	""	""	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"17"	"data collection"	"A704-17"	"A704-17.CEL"	"data transformation"	""	""	""	""	""	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"41"	"data collection"	"A704-41"	"A704-41.CEL"	"data transformation"	""	""	""	""	""	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"65"	"data collection"	"A704-65"	"A704-65.CEL"	"data transformation"	""	""	""	""	""	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"6"	"data collection"	"A704-06"	"A704-06.CEL"	"data transformation"	""	""	""	""	""	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"30"	"data collection"	"A704-30"	"A704-30.CEL"	"data transformation"	""	""	""	""	""	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"54"	"data collection"	"A704-54"	"A704-54.CEL"	"data transformation"	""	""	""	""	""	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"18"	"data collection"	"A704-18"	"A704-18.CEL"	"data transformation"	""	""	""	""	""	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"42"	"data collection"	"A704-42"	"A704-42.CEL"	"data transformation"	""	""	""	""	""	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"66"	"data collection"	"A704-66"	"A704-66.CEL"	"data transformation"	""	""	""	""	""	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"1"	"data collection"	"A704-01"	"A704-01.CEL"	"data transformation"	""	""	""	""	""	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"25"	"data collection"	"A704-25"	"A704-25.CEL"	"data transformation"	""	""	""	""	""	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"49"	"data collection"	"A704-49"	"A704-49.CEL"	"data transformation"	""	""	""	""	""	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"13"	"data collection"	"A704-13"	"A704-13.CEL"	"data transformation"	""	""	""	""	""	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"37"	"data collection"	"A704-37"	"A704-37.CEL"	"data transformation"	""	""	""	""	""	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"61"	"data collection"	"A704-61"	"A704-61.CEL"	"data transformation"	""	""	""	""	""	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"2"	"data collection"	"A704-02"	"A704-02.CEL"	"data transformation"	""	""	""	""	""	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"26"	"data collection"	"A704-26"	"A704-26.CEL"	"data transformation"	""	""	""	""	""	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"50"	"data collection"	"A704-50_2"	"A704-50_2.CEL"	"data transformation"	""	""	""	""	""	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"14"	"data collection"	"A704-14"	"A704-14.CEL"	"data transformation"	""	""	""	""	""	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"38"	"data collection"	"A704-38_2"	"A704-38_2.CEL"	"data transformation"	""	""	""	""	""	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"62"	"data collection"	"A704-62"	"A704-62.CEL"	"data transformation"	""	""	""	""	""	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"9"	"data collection"	"A704-09"	"A704-09.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"Phytophthora infestans 90128"	"NCBITaxon"	"obo:NCBITaxon_887080"	"6"	"hour"	"UO"	"0000032"	""	""	""
"33"	"data collection"	"A704-33_2"	"A704-33_2.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"Phytophthora infestans 90129"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"57"	"data collection"	"A704-57_2"	"A704-57_2.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"Phytophthora infestans 90130"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"21"	"data collection"	"A704-21"	"A704-21.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"Phytophthora infestans 90131"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"45"	"data collection"	"A704-45"	"A704-45.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"Phytophthora infestans 90132"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"69"	"data collection"	"A704-69"	"A704-69.CEL"	"data transformation"	""	""	""	""	""	"40"	""	""	"Phytophthora infestans 90133"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"10"	"data collection"	"A704-10"	"A704-10.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"Phytophthora infestans 90134"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"34"	"data collection"	"A704-34_2"	"A704-34_2.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"Phytophthora infestans 90135"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"58"	"data collection"	"A704-58_2"	"A704-58_2.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"Phytophthora infestans 90136"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"22"	"data collection"	"A704-22"	"A704-22.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"Phytophthora infestans 90137"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"46"	"data collection"	"A704-46"	"A704-46.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"Phytophthora infestans 90138"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"70"	"data collection"	"A704-70"	"A704-70.CEL"	"data transformation"	""	""	""	""	""	"D"	""	""	"Phytophthora infestans 90139"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"11"	"data collection"	"A704-11"	"A704-11.CEL"	"data transformation"	""	""	""	""	""	"erp1"	""	""	"Phytophthora infestans 90140"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"35"	"data collection"	"A704-35"	"A704-35.CEL"	"data transformation"	""	""	""	""	""	"erp1"	""	""	"Phytophthora infestans 90141"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"59"	""	"A704-59_2"	"A704-59_2.CEL"	""	""	""	""	""	""	"erp1"	""	""	"Phytophthora infestans 90142"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"23"	""	"A704-23_2"	"A704-23_2.CEL"	""	""	""	""	""	""	"erp1"	""	""	"Phytophthora infestans 90143"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"47"	""	"A704-47"	"A704-47.CEL"	""	""	""	""	""	""	"erp1"	""	""	"Phytophthora infestans 90144"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"71"	""	"A704-71"	"A704-71.CEL"	""	""	""	""	""	""	"erp1"	""	""	"Phytophthora infestans 90145"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"12"	""	"A704-12"	"A704-12.CEL"	""	""	""	""	""	""	"erp2"	""	""	"Phytophthora infestans 90146"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"36"	""	"A704-36"	"A704-36.CEL"	""	""	""	""	""	""	"erp2"	""	""	"Phytophthora infestans 90147"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"60"	""	"A704-60"	"A704-60.CEL"	""	""	""	""	""	""	"erp2"	""	""	"Phytophthora infestans 90148"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"24"	""	"A704-24_2"	"A704-24_2.CEL"	""	""	""	""	""	""	"erp2"	""	""	"Phytophthora infestans 90149"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"48"	""	"A704-48"	"A704-48.CEL"	""	""	""	""	""	""	"erp2"	""	""	"Phytophthora infestans 90150"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"72"	""	"A704-72"	"A704-72.CEL"	""	""	""	""	""	""	"erp2"	""	""	"Phytophthora infestans 90151"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"7"	""	"A704-07"	"A704-07.CEL"	""	""	""	""	""	""	"gl1"	""	""	"Phytophthora infestans 90152"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"31"	""	"A704-31"	"A704-31.CEL"	""	""	""	""	""	""	"gl1"	""	""	"Phytophthora infestans 90153"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"55"	""	"A704-55"	"A704-55.CEL"	""	""	""	""	""	""	"gl1"	""	""	"Phytophthora infestans 90154"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"19"	""	"A704-19_2"	"A704-19_2.CEL"	""	""	""	""	""	""	"gl1"	""	""	"Phytophthora infestans 90155"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"43"	""	"A704-43"	"A704-43.CEL"	""	""	""	""	""	""	"gl1"	""	""	"Phytophthora infestans 90156"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"67"	""	"A704-67"	"A704-67.CEL"	""	""	""	""	""	""	"gl1"	""	""	"Phytophthora infestans 90157"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"8"	""	"A704-08"	"A704-08.CEL"	""	""	""	""	""	""	"pen2"	""	""	"Phytophthora infestans 90158"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"32"	""	"A704-32"	"A704-32.CEL"	""	""	""	""	""	""	"pen2"	""	""	"Phytophthora infestans 90159"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"56"	""	"A704-56"	"A704-56.CEL"	""	""	""	""	""	""	"pen2"	""	""	"Phytophthora infestans 90160"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"20"	""	"A704-20"	"A704-20.CEL"	""	""	""	""	""	""	"pen2"	""	""	"Phytophthora infestans 90161"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"44"	""	"A704-44"	"A704-44.CEL"	""	""	""	""	""	""	"pen2"	""	""	"Phytophthora infestans 90162"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"68"	""	"A704-68_2"	"A704-68_2.CEL"	""	""	""	""	""	""	"pen2"	""	""	"Phytophthora infestans 90163"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
