"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Hybridization Assay Name"	"Array Design REF"	"Protocol REF"	"Scan Name"	"Image File"	"Array Data File"	"Array Data Matrix File"	"Protocol REF"	"Normalization Name"	"Derived Array Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Array Data Matrix File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"
"SAMEA2630384"	"RNA extraction"	"A704-03"	"labeling"	"A704-03"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-03"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-03.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630402"	"RNA extraction"	"A704-27_2"	"labeling"	"A704-27_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-27_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-27_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630422"	"RNA extraction"	"A704-51_2"	"labeling"	"A704-51_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-51_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-51_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630401"	"RNA extraction"	"A704-15"	"labeling"	"A704-15"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-15"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-15.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630423"	"RNA extraction"	"A704-39"	"labeling"	"A704-39"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-39"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-39.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630395"	"RNA extraction"	"A704-63"	"labeling"	"A704-63"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-63"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-63.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630367"	"RNA extraction"	"A704-04"	"labeling"	"A704-04"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-04"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-04.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630381"	"RNA extraction"	"A704-28"	"labeling"	"A704-28"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-28"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-28.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630405"	"RNA extraction"	"A704-52_2"	"labeling"	"A704-52_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-52_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-52_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630385"	"RNA extraction"	"A704-16_2"	"labeling"	"A704-16_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-16_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-16_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
